assunto,codigo,codigo_pai,dispositivo_legal,artigo,alteracoes,glossario,ods,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,fonte,instancia,caminho_codigos,caminho_assuntos
Taxa de Ocupação,10101,10097,,,,"Todos os temas relativos à taxa de ocupação, incluindo valor, critério de reajuste, forma de cobrança, ônus de inadimplemento.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10097 > 10101,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Imóvel Funcional > Taxa de Ocupação
Patrimônio Histórico / Tombamento,10108,10088,CF,216,,Meio de proteção dos bens que tenham um valor histórico ou artístico.,"ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10108,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Patrimônio Histórico / Tombamento
Privatização,10131,10088,Lei 9491/97; leis estaduais,art. 1º e segs.,,Define os casos de privatização e como ela ocorre.,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10131,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Privatização
Recursos Minerais,10106,10088,Dl 227/1967,,,"Discussões relacionadas a direito de lavra ou pesquisa, ou compensações financeiras pela exploração dos recursos minerais (royalties). No âmbito da Justiça Estadual, deve ser associado à classe 1294 - Outros procedimentos de jurisdição voluntária, quando se tratar da definição do valor devido em razão de pesquisa de lavra.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10106,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Recursos Minerais
Compensação Financeira pela Exploração de Recursos Minerais (CFEM),14129,10106,Lei 7.9908/1989,6º,,Discussão acerca da natureza jurídica da CFEM.,"ODS 9 - Indústria, inovação e infraestrutura; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10106 > 14129,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Recursos Minerais > Compensação Financeira pela Exploração de Recursos Minerais (CFEM)
Terras Indígenas,10102,10088,,,,,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10102,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Terras Indígenas
Demarcação,10105,10102,,,,Todas as questões relativas ao domínio (propriedade) das terras indígenas. Grilagem.,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10102 > 10105,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Terras Indígenas > Demarcação
Restituição de área - FUNAI,10104,10102,,,,Todas as questões que envolvem posse de terras indígenas.,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10102 > 10104,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Terras Indígenas > Restituição de área - FUNAI
Terreno Aldeado,10103,10102,CR1988,"20, XI",,Art. 20. São bens da União: [...] XI- as terras tradicionalmente ocupadas pelos índios.,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10088 > 10102 > 10103,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Domínio Público > Terras Indígenas > Terreno Aldeado
Empregado Público / Temporário,10409,09985,CF,37,,,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10409,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Empregado Público / Temporário
Admissão / Permanência / Despedida,10411,10409,CF,37,,"Somente as discussões de caráter administrativo. Todas as questões de relações de trabalho são da competência da Justiça do Trabalho, e devem ser classificadas em DirTrabalho.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10409 > 10411,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Empregado Público / Temporário > Admissão / Permanência / Despedida
Contrato Temporário de Mão de Obra L 8.745/1993,10410,10409,Lei 8745/93 e Lei 9849/99,arts. 1º e segs.,,"Discussões sobre a contratação por tempo determinado para atender a necessidade temporária de excepcional interesse público, nos termos do inciso IX do artigo 37 da Constituição Federal.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10409 > 10410,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Empregado Público / Temporário > Contrato Temporário de Mão de Obra L 8.745/1993
Garantias Constitucionais,09986,09985,,,,,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais
Alimentação,11848,09986,CRFB,"23, VIII; 200, VI; 208, VII; 212, § 4º e 227",,"Garantia da alimentação adequada, Sistema Nacional de Segurança Alimentar e Nutricional - SISAN, Vigilância Alimentar e Nutricional - SISVAN, Acesso a água, Conselhos de Segurança Alimentar e Nutricional (Nacional, Estadual, Municipal).","ODS 1 - Erradicação da pobreza; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11848,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Alimentação
Anistia Política,09988,09986,,,,"Discussões sobre anistia política,ato do poder público visando a extinguir todas as conseqüências de uma punição aos que foram acusados de crimes políticos.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 09988,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Anistia Política
Assistência Social,11847,09986,,,,Política social de proteção gratuita aos necessitados (art. 203 e 204 da CF). Os benefícios sociais deverão ser classificados no item Direito Previdenciário - Benefícios em espécie.,"ODS 1 - Erradicação da pobreza; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,2014-02-18 10:20:19,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11847,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Assistência Social
Comunicação Social,11845,09986,,,,"Assuntos que envolvem a comunicação de massa, tais como: rádios comunitárias, plano nacional de banda larga, outorgas de tv e radiodifusão, programação de rádio e televisão (monitoramento das finalidades culturais, educativas, artísticas e informativas dos meios de comunicação).","ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11845,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Comunicação Social
Direito de Acesso à Informação,15184,09986,Constituição Federal,"5º, XIV",,"Assunto para iidentificar ações que tratem do direito de acesso à informação, garantido constitucionalmente.","ODS 16 - Paz, justiça e instituições eficazes",2022-11-25 16:26:12,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 15184,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Direito de Acesso à Informação
Direitos Indígenas,09989,09986,,,,"Discussões sobre direitos assegurados pela Constituição às comunidades indígenas, como direito às terras, à preservação de seus usos, costumes, tradições, o direito de não serem discriminados entre outros.","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 09989,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Direitos Indígenas
Intervenção em Estado / Município,09990,09986,CF,34,,"Discussões sobre a possibilidade de intervenção da União nos Estados ou DF, de intervenção dos Estados nos Municípios e de intervenção da União nos Municípios situados em Território Federal","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 09990,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Intervenção em Estado / Município
Minorias Étnicas,11844,09986,,,,"Questões relacionadas às minorias étnicas, à exceção dos indígenas.","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11844,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Minorias Étnicas
Moradia,11846,09986,,,,"Prevenção e mediação de conflitos fundiários urbanos, proteção nas situações de despejos forçados, reassentamento, programa habitacional/prioridade na aquisição de moradia. Excetua-se Usucapião (CNJ 10500, 10457, 10460, 10458, 10459).","ODS 3 - Saúde e bem-estar; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11846,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Moradia
Não Discriminação,11849,09986,,,,"Questões relacionadas a atos discriminatórios, bem como implementação de políticas afirmativas que já não estejam incluídas em áreas específicas (Educação, saude, trabalho, pessoa com deficiência e acessabilidade). Exemplo: lésbicas, gays, bissexuais, travestis, transgêneros e transexuais.","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11849,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Não Discriminação
Pessoa Idosa,11842,09986,,,,Discussões sobre direitos assegurados na Lei no 10.741/2003 (Estatuto do Idoso).,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11842,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Pessoa Idosa
Pessoas com deficiência,11843,09986,,,,Questões relacionadas às pessoas com necessidades especiais contempladas na Lei 7853/89 e Lei 10098/00.,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 11843,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Pessoas com deficiência
Proteção da Intimidade e Sigilo de Dados,10587,09986,,,,"Cadastrar aqui as discussões sobre acesso a dados protegidos por sigilo fiscal ou bancário. Inclui os pedidos de informações à Receita Federal sobre bens disponíveis de devedores executados, dívidas não tributárias. As discussões de caráter tributário devem ser cadastradas no assunto próprio DirTributário;","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 10587,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Proteção da Intimidade e Sigilo de Dados
Sistema Prisional,14130,09986,Constituição Federal,,,"Discussão sobre direitos assegurados pela Constituição à população carcerária no âmbito do sistema prisional, tais como vida, saúde, dignidade, trabalho, educação, dentre outros.","ODS 3 - Saúde e bem-estar; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 09986 > 14130,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Garantias Constitucionais > Sistema Prisional
Intervenção do Estado na Propriedade,10120,09985,,,,"Direito de superfície e Usucapião coletivo não devem ser incluídos: são direito real sobre coisa alheia; melhor em Dir Civil, Coisas; não introduzem problemas de intervenção do Estado na propriedade; se dá entre particulares. Revisado, com dúvidas.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade
Desapropriação,10121,10120,CF,"art. 5º, XXIV",,Cuida da desapropriação ordinária.,"ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10121,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação
Desapropriação de Imóvel Urbano,10134,10120,L 10.251/2001,8º e segs.,,"Desapropriação com pagamento de indenização através de títulos públicos ou pagamento direto, por não cumprimento da obrigação de parcelamento, edificação ou utilização estabelecidas pelo Município (art. 5º, L 10.251/2001).","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10134,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação de Imóvel Urbano
Desapropriação Indireta,10125,10120,DL 3365/41,10,,"Discussões em que a administração pública ocupa propriedade privada sem prévio processo de desapropriação, de iniciativa do particular prejudicado. Também conhecido como apossamento administrativo.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10125,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação Indireta
Desapropriação para Regularização de Comunidade Quilombola / Dec. 4887/2003,12031,10120,Dec. 4887/2003,13,glossario;,"Art. 13. Incidindo nos territórios ocupados por remanescentes das comunidades dos quilombos título de domínio particular não invalidado por nulidade, prescrição ou comisso, e nem tornado ineficaz por outros fundamentos, será realizada vistoria e avaliação do imóvel , objetivando a adoção dos atos necessários à sua desapropriação, quando couber. § 1 o Para os fins deste Decreto, o INCRA estará autorizado a ingressar no imóvel de propriedade particular, operando as publicações editalícias do art. 7 o efeitos de comunicação prévia. § 2 o O INCRA regulamentará as hipóteses suscetíveis de desapropriação, com obrigató","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2014-07-16 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 12031,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação para Regularização de Comunidade Quilombola / Dec. 4887/2003
Desapropriação por Interesse Social Comum / L 4.132/1962,10123,10120,Lei 4132/62,art. 1º e segs.,,"Desapropriação em que o Estado, para impor um melhor aproveitamento da terra rural ou para prestigiar certas camadas sociais, adquire a propriedade de alguém e a trespassa a terceiro.","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10123,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação por Interesse Social Comum / L 4.132/1962
Desapropriação por Interesse Social para Reforma Agrária,10124,10120,CF1988; LC 76/1993,184,,,"ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10124,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação por Interesse Social para Reforma Agrária
Desapropriação por Utilidade Pública / DL 3.365/1941,10122,10120,DL 3365/41,"art. 1º, 2º, 5º",,"Desapropriação em que o Estado, para atender situações normais, tem de adquirir o domínio e o uso de bens de outrem.","ODS 10 - Redução das desigualdades; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10122,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Desapropriação por Utilidade Pública / DL 3.365/1941
Direito de Preempção,10133,10120,L 10.257/2001 Estatuto das Cidades,25 a 27,,Art. 25. O direito de preempção confere ao Poder Público municipal preferência para aquisição de imóvel urbano objeto de alienação onerosa entre particulares.,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10133,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Direito de Preempção
Limitação Administrativa,10130,10120,CF,"170, III",,"Discussões sobre o estabelecimento de limitação administrativa, seus efeitos, inclusive sobre eventual indenização. Inclui as restrições impostas à exploração de imóveis situados e áreas de preservação ambiental.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10130,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Limitação Administrativa
Ocupação Temporária,10129,10120,DL 3365/41,35,,"Ocorre quando o Poder Público, por seus próprios agentes ou por empreiteiros, utiliza provisoriamente terrenos não edificados. Essa utilização deve ser necessária para realização da obra.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10129,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Ocupação Temporária
Requisição de Bem Particular,10135,10120,CF1988,"5º, XXV",,"Requisição é a retirada coercitiva e temporária de bens da posse de particulares, por autoridade competente, para elidir iminente perigo público. A requisição de bens não se confunde com a desapropriação, por ser temporária, não implicando a perda da propriedade.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10135,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Requisição de Bem Particular
Restituição de área,10132,10120,,,,"Não confunde com retrocessão. Neste caso a iniciativa é do Poder Público, que desiste da finalidade da desapropriação.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10132,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Restituição de área
Retrocessão,10126,10120,Lei 10406/02,Art. 519,,"Particular pretende desfazer a desapropriação por destinação do bem diversa da que motivou a desapropriação. Inclui a hipótese de tredestinação, transferência a terceiro quando não pudesse ser transferido diretamente (perseguição ou favoritismo a pessoas determinadas).","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10126,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Retrocessão
Servidão Administrativa,10128,10120,DL 3365/41,art. 40,,Na servidão administrativa alguns atributos do direito de propriedade são partilhados com terceiros.,"ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10128,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Servidão Administrativa
Vistoria,10127,10120,DL 3365/41,art. 7º,,Declara que a autoridade administrativa pode adentrar o imóvel para vistoriar e poder definir o valor de indenização.,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10120 > 10127,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção do Estado na Propriedade > Vistoria
Intervenção no Domínio Econômico,10136,09985,,,,,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico
Agências/órgãos de regulação,11871,10136,,,,"Atividades Reguladoras: Temas relacionados à atuação interventiva dos órgãos de regulação nacional e estaduais no desempenho das funções de fiscalização, incentivo e planejamento da ordem econômica. Exercem atividade regulatória, dentre outros: ANA, ANVISA, ANS, ANTAQ, ANTT, ANATEL, ANEEL, ANAC, CVM, BACEN, CADE, ANCINE, ANP, SDE/MJ, SEAE/MF, SUSEP.","ODS 16 - Paz, justiça e instituições eficazes",2011-10-05 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 11871,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Agências/órgãos de regulação
Controle de Abastecimento,10139,10136,,,,,"ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10139,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Controle de Abastecimento
Controle de Preços,10138,10136,,,,,"ODS 1 - Erradicação da pobreza; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10138,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Controle de Preços
Expurgos Inflacionários / Planos Econômicos,10154,10136,,,,,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10154,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Expurgos Inflacionários / Planos Econômicos
Cruzados Novos / Bloqueio,10155,10154,L 8.024/1990,,,Recolhimento dos cruzados novos para o Banco Central do Brasil em março de 1990.,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10154 > 10155,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Expurgos Inflacionários / Planos Econômicos > Cruzados Novos / Bloqueio
Poupança,10156,10154,,,,"Desabilitado pelo Comitê Gestor em 05 09 08. Cadastrar em Direito do Consumidor, Contratos Bancários, Expurgos Inflacionários / Planos Econômicos.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,2008-09-30 15:52:52,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10154 > 10156,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Expurgos Inflacionários / Planos Econômicos > Poupança
Importações,10140,10136,,,,"Questão de desembaraço aduaneiro ou de documentação incompleta para trânsito ou comercialização (acobertamento), quando as restrições tenham natureza tributária. Para outras restrições, usar Desembaraço aduaneiro, Importações, Intervenção no Domínio Econômico, DIREITO ADMINISTRATIVO.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,09985 > 10136 > 10140,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO > Intervenção no Domínio Econômico > Importações
